id,race,days_b_screening_arrest,c_charge_degree,is_recid,score_text
304,Other,-1,F,1,2
306,African-American,-1,F,1,3
308,African-American,-1,M,0,1
310,African-American,0,F,0,3
311,Caucasian,49,F,1,2
313,Caucasian,-1,F,1,3
315,African-American,-1,F,0,1
316,Caucasian,-36,M,0,1
317,African-American,-1,F,0,3
319,Caucasian,-1,F,1,1
320,African-American,-1,F,0,3
321,African-American,-1,M,0,2
322,African-American,104,F,0,2
323,Hispanic,,M,0,1
325,Caucasian,-34,F,0,1
326,Caucasian,-1,M,1,1
327,Caucasian,-1,M,0,1
329,Other,-1,M,1,1
330,African-American,-1,F,0,1
331,Caucasian,0,F,1,1
332,African-American,-1,F,0,2
333,African-American,0,M,0,2
334,African-American,-1,F,1,3
335,African-American,-1,M,1,1
336,Other,0,F,1,1
337,African-American,-1,F,0,3
338,African-American,-1,F,0,3
341,African-American,-227,F,1,1
344,African-American,0,M,0,1
345,Caucasian,-1,F,0,1
347,Caucasian,0,F,1,1
348,African-American,-1,F,0,1
349,Caucasian,-3,F,0,1
350,African-American,-1,M,1,3
351,Caucasian,0,F,0,2
354,African-American,-1,F,0,1
355,African-American,0,F,0,1
356,Hispanic,0,F,0,1
357,Caucasian,-1,F,1,3
358,Caucasian,-1,F,1,1
359,African-American,-1,F,0,3
360,African-American,649,M,0,3
361,Caucasian,-1,M,0,1
362,African-American,29,F,1,3
363,Caucasian,-1,M,1,2
364,African-American,0,F,0,1
366,Caucasian,0,M,1,3
369,Other,-1,M,0,1
372,Other,-1,F,0,1
374,Caucasian,150,F,1,2
375,Caucasian,-140,F,0,1
376,African-American,161,M,1,3
377,Caucasian,-32,M,1,2
378,African-American,-44,M,1,1
379,Hispanic,-1,M,0,1
381,Hispanic,-1,F,1,2
382,Caucasian,-1,F,1,2
383,Hispanic,-3,M,0,3
384,African-American,-1,M,0,1
385,African-American,-1,F,1,3
386,African-American,-1,F,1,2
389,Other,-1,F,0,1
390,African-American,-1,F,0,1
392,Caucasian,812,M,1,1
393,African-American,0,F,0,1
396,African-American,-1,F,0,3
398,Hispanic,0,F,0,2
399,African-American,-1,F,0,1
400,African-American,-1,F,1,1
402,African-American,-1,F,0,1
403,African-American,,F,1,2
404,Caucasian,0,F,0,2
405,Caucasian,-1,F,1,2
406,African-American,0,F,1,2
407,African-American,-1,M,1,3
408,Caucasian,-1,F,0,1
409,African-American,,F,0,3
410,Caucasian,-232,F,0,1
411,African-American,-1,M,0,1
414,Other,-1,F,0,1
415,African-American,53,M,0,2
416,African-American,0,F,1,2
417,African-American,-1,F,0,1
423,Caucasian,-4,F,0,1
424,African-American,299,M,1,1
425,Caucasian,-13,M,0,1
426,Caucasian,-266,F,1,1
428,Caucasian,-1,F,0,1
429,African-American,-1,M,1,3
430,African-American,-1,M,1,3
431,Hispanic,23,F,1,1
432,Caucasian,-1,M,0,1
434,African-American,-48,F,1,2
435,African-American,-1,M,0,1
437,Caucasian,0,F,1,2
438,African-American,-1,F,1,1
439,African-American,-83,F,0,1
440,African-American,-1,F,1,1
441,Other,-1,F,0,1
442,Caucasian,-93,M,1,1
445,Caucasian,-1,F,0,1
446,African-American,0,M,0,2
450,African-American,-36,F,1,2
451,African-American,-11,M,1,3
452,Caucasian,0,F,0,1
454,African-American,300,M,1,3
456,Caucasian,-1,F,0,1
457,Other,-1,F,1,1
459,African-American,0,F,0,1
461,Hispanic,-1,F,0,1
462,African-American,0,M,0,1
463,Caucasian,-1,M,1,1
464,Caucasian,-1,M,1,1
465,Caucasian,-3,F,0,1
467,Other,-1,F,1,3
468,African-American,0,F,0,1
469,African-American,-1,F,1,3
474,Caucasian,0,M,0,1
475,Caucasian,0,M,0,1
478,African-American,-1,F,0,3
480,African-American,-1,F,1,3
481,Caucasian,-176,F,0,1
484,Caucasian,-1,F,0,2
485,African-American,-1,F,1,3
487,Caucasian,-7,F,1,2
489,Caucasian,0,M,1,1
493,African-American,,F,0,1
494,Hispanic,-22,F,1,2
495,African-American,-1,F,0,2
496,Caucasian,-2,M,1,1
497,Hispanic,0,M,1,1
499,Caucasian,-4,F,0,2
500,African-American,-1,F,1,3
501,Caucasian,-1,M,0,1
502,African-American,-1,F,0,1
503,African-American,206,F,1,2
504,Other,-1,F,1,1
505,African-American,-1,F,0,1
509,Caucasian,0,M,0,2
510,Hispanic,-1,M,0,1
511,Other,-94,F,0,1
512,African-American,-86,F,0,2
516,African-American,-1,F,1,3
517,African-American,0,F,0,2
518,African-American,0,F,0,1
521,Hispanic,-80,F,1,1
522,Caucasian,-1,F,0,1
523,African-American,-1,F,1,3
524,Hispanic,-1,M,0,3
525,Other,-1,M,0,1
526,Caucasian,0,F,0,2
527,Caucasian,-1,M,0,1
530,Caucasian,-1,F,0,2
531,African-American,0,M,1,3
532,Caucasian,-2,F,0,1
533,African-American,-1,F,1,2
537,African-American,0,F,0,2
538,African-American,-1,M,1,1
540,Caucasian,-1,M,0,1
541,African-American,,M,0,3
542,African-American,0,F,1,3
543,Hispanic,47,M,1,2
545,Other,-21,F,0,1
546,Hispanic,0,F,0,1
547,Caucasian,0,F,0,1
548,African-American,-1,F,1,1
552,Caucasian,-1,M,1,2
553,African-American,,F,0,3
557,African-American,-1,F,1,3
558,African-American,-1,F,1,2
561,Caucasian,0,M,0,1
563,Caucasian,-1,M,1,1
565,Caucasian,-1,F,1,2
566,African-American,-1,F,1,3
567,Caucasian,-1,M,0,1
569,African-American,-1,F,0,1
572,African-American,-12,F,0,1
573,African-American,-1,M,0,1
574,Caucasian,-36,M,0,1
576,African-American,-1,F,1,3
579,African-American,-1,F,1,3
580,Caucasian,-8,M,0,2
581,African-American,-1,F,1,3
584,African-American,-1,F,0,2
586,African-American,-1,F,0,1
587,African-American,,F,0,1
588,African-American,-1,F,1,1
590,Caucasian,-1,F,1,3
594,Caucasian,0,M,0,1
597,African-American,-1,F,1,3
598,African-American,0,F,1,3
599,Caucasian,0,M,0,1
600,Hispanic,-1,F,0,1
601,Caucasian,-312,F,1,3
602,African-American,-1,F,1,2
603,African-American,-1,F,0,2
604,African-American,0,M,1,3
605,African-American,-34,F,0,2
608,Caucasian,0,F,0,1
609,Caucasian,-150,F,0,1
611,African-American,-1,F,0,1
612,African-American,-1,F,1,3
613,Caucasian,-1,F,1,1
616,African-American,0,F,0,1
617,Other,-1,F,0,1
621,Hispanic,-5,M,0,1
622,Caucasian,-2,M,0,2
623,Caucasian,-1,M,0,1
624,African-American,0,F,0,2
625,African-American,-31,F,1,1
627,African-American,-1,F,0,2
628,Caucasian,0,M,1,1
629,Hispanic,0,M,0,1
630,Caucasian,-1,F,0,1
633,Caucasian,-23,M,0,1
635,African-American,0,M,1,1
637,Caucasian,-1,F,1,2
638,African-American,-1,F,1,2
639,Other,-1,F,0,1
640,African-American,0,F,1,2
641,Caucasian,0,M,1,2
643,African-American,178,F,0,3
644,African-American,-1,M,1,2
645,African-American,-1,F,0,2
646,Hispanic,0,M,1,1
647,Caucasian,0,F,0,1
648,African-American,-1,F,1,2
649,Caucasian,-22,M,0,1
651,African-American,0,F,0,1
653,Caucasian,0,F,1,3
654,Caucasian,-1,F,0,1
656,African-American,-1,F,0,2
657,African-American,-1,F,1,3
659,Caucasian,-1,F,1,3
660,Caucasian,-1,M,0,1
662,Caucasian,0,F,0,2
664,Caucasian,0,M,0,1
668,Hispanic,-1,F,1,2
669,African-American,-1,F,1,3
673,Hispanic,-263,M,1,2
674,African-American,-1,M,1,1
675,Caucasian,-1,F,0,1
678,African-American,0,F,0,1
679,African-American,0,M,0,1
680,African-American,-1,F,0,1
681,Caucasian,-1,M,0,1
684,African-American,-83,F,0,1
685,African-American,-1,F,1,3
686,Caucasian,-1,M,1,1
687,Other,-1,F,1,3
688,African-American,-1,M,1,3
689,African-American,-122,F,0,3
691,African-American,-1,M,1,2
692,African-American,0,F,1,2
693,Caucasian,-1,F,1,2
694,Caucasian,0,F,1,1
696,Native American,-152,F,1,2
697,African-American,-1,F,1,1
700,African-American,-1,F,1,3
701,African-American,-1,F,0,3
703,Caucasian,-3,F,0,1
704,African-American,0,F,0,1
707,African-American,-1,F,1,2
708,African-American,-1,F,1,3
709,African-American,-1,F,1,2
711,African-American,-1,F,1,3
712,African-American,-26,M,0,1
713,African-American,-1,M,1,2
715,Caucasian,0,M,1,2
716,African-American,-1,M,0,1
718,African-American,0,F,1,3
720,Caucasian,0,F,0,1
721,Hispanic,0,F,0,3
722,Caucasian,-14,F,0,1
724,Caucasian,-1,F,0,1
726,Caucasian,-1,F,1,2
727,Caucasian,-2,F,0,1
728,Hispanic,-1,F,1,1
729,Caucasian,-2,F,1,1
730,Asian,-1,F,0,2
731,Hispanic,-11,F,0,1
732,Hispanic,-26,M,0,1
737,Caucasian,0,F,1,3
738,Caucasian,-1,M,1,3
739,African-American,,M,0,3
740,Asian,0,F,1,2
743,African-American,-1,F,0,1
745,Caucasian,-1,M,0,1
750,Caucasian,-43,F,1,3
752,Caucasian,0,M,1,1
753,African-American,-1,M,0,1
754,African-American,-1,F,1,1
756,Caucasian,-2,M,0,1
757,African-American,0,F,0,2
758,Hispanic,49,F,1,2
760,African-American,-53,F,1,2
762,Caucasian,-1,M,1,1
763,Hispanic,-1,F,1,2
764,Hispanic,-1,F,0,1
765,African-American,0,F,1,2
769,Caucasian,0,F,0,2
770,Caucasian,-1,M,0,1
771,Caucasian,0,F,0,1
774,African-American,,F,0,2
775,Caucasian,-1,M,0,1
779,African-American,-54,M,0,1
781,Other,0,F,0,2
785,African-American,-1,M,0,1
786,Caucasian,0,M,0,1
787,Hispanic,-1,M,0,1
788,Other,-1,M,0,1
789,African-American,0,M,0,1
790,African-American,-1,F,0,1
792,Other,0,M,0,1
793,African-American,-1,F,1,2
794,African-American,-1,F,1,2
796,Caucasian,0,F,0,1
798,Caucasian,-1,F,1,2
800,African-American,61,M,1,3
803,African-American,0,M,0,2
804,African-American,0,F,1,1
805,Caucasian,-5,F,1,1
806,Caucasian,-1,F,0,1
807,Caucasian,-1,M,0,3
808,Caucasian,-1,F,1,1
810,African-American,-1,M,1,1
812,African-American,-1,F,0,1
813,African-American,-1,F,1,1
814,Caucasian,-7,F,1,1
815,Caucasian,-1,F,1,1
817,Other,-1,F,0,1
818,Caucasian,0,F,0,1
820,Hispanic,0,F,0,3
821,African-American,-1,F,0,2
823,African-American,-1,F,1,2
825,Caucasian,-23,M,1,3
829,Caucasian,168,F,1,3
830,Hispanic,-1,F,1,2
831,Caucasian,0,M,0,1
835,African-American,-1,F,1,3
836,Hispanic,-12,M,1,1
837,Caucasian,-1,F,1,2
838,African-American,0,M,0,1
840,African-American,,F,0,2
841,Caucasian,-1,F,0,1
842,Hispanic,,F,0,1
843,African-American,-1,F,0,2
844,African-American,-1,F,0,2
847,African-American,-1,F,1,2
848,Other,-1,F,0,1
849,African-American,-1,F,1,1
850,African-American,0,F,1,2
851,Caucasian,-9,M,0,1
852,African-American,-11,F,1,2
853,African-American,-1,M,0,1
855,African-American,-1,F,0,1
856,Caucasian,-6,F,0,2
857,African-American,-1,F,1,3
858,African-American,0,M,0,1
859,African-American,0,F,0,2
861,Caucasian,-13,F,1,1
863,Caucasian,0,F,0,1
864,Hispanic,0,F,0,3
867,African-American,0,M,1,1
869,Caucasian,0,M,0,1
870,African-American,-1,F,1,1
871,Caucasian,0,M,0,1
872,African-American,0,F,1,2
874,Hispanic,0,F,0,2
875,African-American,-1,M,0,1
879,Caucasian,,F,0,1
880,Hispanic,-8,F,0,1
881,Caucasian,0,M,1,1
882,Caucasian,-1,F,1,1
883,Caucasian,162,F,1,2
884,Caucasian,0,M,1,1
886,Caucasian,-1,M,0,1
887,African-American,-1,F,1,2
888,Caucasian,0,M,0,1
889,Caucasian,-1,M,0,1
890,Other,-1,M,1,2
891,African-American,75,F,1,3
893,Hispanic,-1,M,0,1
895,Other,-1,F,0,1
897,African-American,622,F,1,2
898,African-American,747,F,1,3
899,African-American,-1,M,1,1
900,Caucasian,-1,F,0,2
901,African-American,-1,M,0,1
904,Hispanic,-1,M,1,1
905,Hispanic,-27,F,0,1
906,Caucasian,0,F,0,2
909,African-American,-1,F,0,1
913,African-American,-20,M,1,3
914,African-American,-1,M,1,2
915,African-American,-65,F,1,2
916,African-American,-1,F,0,1
917,African-American,0,F,1,3
918,African-American,-1,F,0,1
919,Hispanic,-8,M,1,3
921,African-American,0,M,0,2
922,Caucasian,-1,F,1,2
923,African-American,,M,0,1
924,Caucasian,0,M,0,1
925,Caucasian,-2,M,0,1
926,African-American,0,M,1,2
927,Caucasian,0,F,0,1
930,African-American,-1,F,1,3
932,Hispanic,-44,M,0,1
934,African-American,-1,F,1,2
935,Caucasian,0,M,0,1
937,Hispanic,,F,1,2
943,Caucasian,29,M,1,1
944,African-American,0,F,0,1
945,African-American,,M,0,3
946,African-American,0,M,1,1
947,Caucasian,-1,F,0,3
948,African-American,-1,M,0,2
949,Caucasian,-2,F,1,3
951,African-American,-27,M,0,1
953,African-American,0,M,0,1
955,African-American,-1,F,1,2
956,African-American,-175,F,1,3
958,Hispanic,0,M,0,1
959,African-American,-1,F,1,3
960,Caucasian,-1,F,1,2
962,Caucasian,0,M,0,3
963,Caucasian,-1,F,0,2
964,Caucasian,-1,F,1,2
965,African-American,-1,F,0,1
967,African-American,0,F,1,3
968,Caucasian,0,F,1,1
969,Other,-1,F,0,3
971,African-American,-14,F,1,1
973,Caucasian,-1,M,1,1
975,African-American,-1,F,0,1
977,African-American,-1,F,0,3
978,African-American,-1,F,0,1
979,Caucasian,-38,F,1,3
983,Caucasian,-40,F,1,1
986,Caucasian,-61,F,1,1
987,African-American,-1,F,1,3
988,African-American,-1,F,0,2
990,Caucasian,0,F,0,2
991,African-American,320,F,0,2
993,Caucasian,-13,F,1,1
995,African-American,-1,F,1,3
996,African-American,-1,F,1,1
997,African-American,-68,F,1,1
998,African-American,-1,F,1,2
999,Caucasian,-1,F,1,1
1000,African-American,0,F,1,3
1001,African-American,-1,F,0,3
1002,African-American,-1,F,0,2
1003,African-American,-1,M,1,3
1004,Hispanic,-19,M,1,2
1005,African-American,-18,M,1,1
1006,African-American,-1,M,0,1
1007,African-American,-1,F,0,1
1008,Caucasian,-10,M,0,1
1009,Hispanic,-1,F,0,1
1014,African-American,-1,F,0,2
1015,African-American,-1,F,0,1
1016,Other,-1,M,1,3
1017,Caucasian,-32,F,0,2
1018,African-American,,M,0,2
1020,Other,0,F,0,1
1022,African-American,0,M,0,1
1023,Caucasian,26,F,0,1
1024,African-American,-1,M,0,1
1025,African-American,-1,M,1,2
1026,African-American,-1,F,1,3
1027,African-American,0,F,0,3
1030,Caucasian,-1,M,0,1
1031,Caucasian,-4,F,1,3
1032,Hispanic,-2,F,1,3
1034,African-American,0,M,1,3
1036,African-American,-1,F,0,1
1037,Asian,-1,F,1,2
1038,Caucasian,-3,F,1,1
1039,African-American,210,F,1,3
1041,African-American,-43,F,0,1
1043,African-American,-1,F,0,2
1044,African-American,-1,M,0,2
1046,African-American,,M,0,2
1048,African-American,-1,F,1,3
1049,Caucasian,-2,F,0,1
1051,African-American,-1,M,1,1
1054,African-American,-306,F,0,3
1055,African-American,236,F,1,3
1056,Caucasian,0,F,1,2
1057,African-American,0,F,1,2
1058,African-American,-1,M,0,1
1059,African-American,-1,M,0,2
1060,African-American,-1,F,0,1
1061,African-American,-1,F,0,1
1062,African-American,0,F,0,1
1063,African-American,-6,M,1,2
1065,African-American,0,F,1,3
1066,Caucasian,-1,F,0,1
1068,Caucasian,0,F,1,1
1069,Caucasian,-6,F,0,1
1070,African-American,-52,F,0,2
1072,African-American,-1,F,0,1
1073,Hispanic,0,M,0,1
1076,Caucasian,-1,F,0,3
1077,African-American,-1,F,1,2
1079,African-American,,F,1,1
1081,African-American,,M,0,1
1082,African-American,-1,F,1,3
1084,African-American,-1,M,0,1
1086,African-American,-1,F,0,2
1087,Caucasian,0,F,1,1
1088,Caucasian,-1,F,0,1
1089,Caucasian,0,M,1,1
1092,Hispanic,-6,F,0,3
1093,Caucasian,-1,M,0,1
1094,Caucasian,-1,F,1,1
1096,Caucasian,-1,M,0,1
1097,Caucasian,-47,M,0,1
1099,Caucasian,-1,F,0,1
1101,Hispanic,-1,F,0,1
1103,African-American,0,F,0,3
1105,Caucasian,-268,F,1,1
1106,Caucasian,-1,F,0,1
1107,Caucasian,-1,F,1,1
1109,African-American,-1,F,1,1
1110,African-American,-1,F,1,3
1111,African-American,0,F,0,2
1118,Caucasian,-106,F,0,1
1119,African-American,-1,F,1,3
1120,African-American,0,F,0,3
1121,African-American,-1,F,0,1
1122,African-American,-3,F,0,1
1123,African-American,0,F,0,3
1125,African-American,0,F,1,2
1127,African-American,0,F,0,1
1128,Caucasian,-1,M,0,2
1129,Other,-1,F,0,1
1130,Caucasian,-1,F,1,2
1131,African-American,-1,F,1,3
1132,Caucasian,0,F,0,1
1135,Caucasian,-37,F,0,1
1136,African-American,-1,M,1,2
1138,African-American,0,M,0,3
1140,African-American,-1,F,0,1
1141,African-American,-1,M,0,3
1142,African-American,0,F,0,2
1143,African-American,0,F,1,2
1144,African-American,-1,F,0,2
1145,African-American,-1,F,1,2
1146,African-American,-1,F,1,2
1149,Hispanic,,F,0,2
1150,African-American,-1,F,1,3
1151,Other,-1,F,1,1
1152,Other,-1,M,0,3
1153,Caucasian,-1,F,1,3
1156,African-American,-1,F,0,1
1157,Native American,0,M,0,2
1158,Caucasian,-47,F,1,1
1159,African-American,0,F,0,1
1160,African-American,-1,F,1,2
1162,African-American,-1,F,1,2
1163,African-American,-1,F,1,2
1165,Other,-1,M,0,1
1166,African-American,0,F,1,3
1167,African-American,-106,M,0,1
1169,African-American,-1,M,0,1
1170,Other,-1,F,1,1
1171,Hispanic,-1,F,0,1
1172,African-American,-1,M,0,1
1173,African-American,-29,F,1,2
1176,Caucasian,-2,M,0,1
1177,Caucasian,-1,M,0,1
1179,African-American,-1,F,0,1
1181,African-American,-1,F,0,2
1186,Caucasian,0,M,1,1
1187,Caucasian,-1,F,1,3
1191,Caucasian,0,F,1,1
1192,African-American,-1,F,0,2
1193,Caucasian,-1,F,0,2
1194,Other,-1,F,0,1
1195,African-American,-1,F,0,2
1196,Caucasian,0,M,0,1
1197,African-American,-1,F,1,3
1198,Caucasian,0,M,0,1
1200,African-American,-1,F,1,2
1202,African-American,0,F,1,3
1204,Other,-1,M,0,1
1205,African-American,-1,M,0,1
1206,Other,-1,F,0,1
1207,Caucasian,-38,F,1,2
1208,Caucasian,,M,0,1
1209,Caucasian,-1,F,0,1
1212,African-American,0,M,1,2
1213,African-American,-1,M,0,1
1215,Hispanic,0,M,0,1
1216,Caucasian,0,F,0,2
1217,African-American,-1,F,1,1
1219,African-American,-1,M,0,1
1220,African-American,0,F,0,1
1221,Other,0,M,0,2
1222,African-American,-4,F,1,3
1223,Caucasian,140,M,1,2
1225,African-American,-1,F,1,1
1227,Hispanic,-79,F,0,2
1228,Caucasian,,F,0,2
1229,African-American,-1,F,0,2
1230,African-American,-1,F,0,1
1231,Caucasian,773,M,0,1
1233,Caucasian,-1,F,0,1
1234,African-American,,M,0,2
1235,African-American,-1,F,1,2
1237,African-American,-1,M,0,2
1238,Caucasian,-1,M,1,1
1239,African-American,0,M,1,3
1240,African-American,-1,F,0,3
1241,Caucasian,-1,M,1,1
1242,Other,-1,M,1,1
1243,Caucasian,0,M,0,1
1244,Caucasian,-3,F,0,1
1246,African-American,0,M,1,2
1247,African-American,-1,F,0,1
1248,Caucasian,-1,M,1,1
1250,African-American,-1,F,1,3
1252,Other,-1,F,0,1
1253,Other,-1,F,1,1
1254,African-American,0,F,0,3
1255,African-American,-1,F,1,3
1256,African-American,-1,F,1,3
1257,African-American,28,M,1,2
1258,African-American,-1,M,1,3
1259,Caucasian,-1,F,1,1
1260,African-American,-1,M,1,2
1261,African-American,-1,M,0,1
1262,Caucasian,-1,M,1,1
1268,African-American,-1,F,1,1
1269,African-American,-1,M,0,1
1271,African-American,,M,1,2
1272,African-American,-1,F,1,2
1274,Other,-1,F,0,1
1275,Caucasian,-1,F,0,1
1276,African-American,-2,M,1,2
1280,Caucasian,0,M,1,2
1281,Caucasian,-1,M,1,1
1282,African-American,-1,F,0,3
1283,African-American,-1,F,1,3
1286,Caucasian,-1,F,1,1
1290,African-American,-1,M,1,3
1292,Caucasian,0,F,0,1
1293,African-American,-1,F,1,2
1295,Caucasian,0,F,0,1
1296,Caucasian,-1,F,0,1
1297,Hispanic,,M,0,1
1298,African-American,-1,M,0,3
1300,Caucasian,-1,M,0,2
1303,African-American,-1,F,1,1
1304,African-American,,F,0,2
1305,African-American,0,M,0,3
1306,African-American,-1,F,1,1
1310,Caucasian,-23,F,0,2
1313,African-American,-1,F,1,3
1314,African-American,-1,M,1,3
1315,African-American,-1,F,0,1
1318,African-American,-1,F,1,3
1320,Other,-1,F,0,1
1321,African-American,,M,1,1
1323,African-American,-5,F,0,1
1324,Caucasian,0,F,0,1
1325,African-American,-1,F,0,1
1326,African-American,-1,F,0,3
1328,African-American,-1,M,0,1
1329,Caucasian,-1,F,1,3
1330,Caucasian,0,F,0,1
1331,African-American,-1,F,1,3
1332,Other,-1,F,1,1
1334,African-American,-1,F,0,1
1335,Caucasian,,M,0,1
1336,Caucasian,-1,F,1,1
1341,Native American,-172,M,1,3
1342,African-American,-1,F,0,2
1343,Hispanic,-1,F,1,2
1344,African-American,-1,F,0,1
1345,Caucasian,-1,M,1,1
